DEC_1	DEC_2	E2_1	E2_2	UNTR_1	UNTR_2
ENSMUSG00000000702	0	0	0	0	0	0
ENSMUSG00000078423	0	0	0	0	0	0
ENSMUSG00000078424	0	0	0	0	0	0
ENSMUSG00000071964	0	0	0	0	0	0
ENSMUSG00000093774	0	0	0	0	0	0
ENSMUSG00000093444	0	0	0	0	0	1
ENSMUSG00000091539	1	0	0	0	0	0
ENSMUSG00000063889	1574	1427	1914	1748	1624	1811
ENSMUSG00000091488	11	12	11	7	10	19
ENSMUSG00000024231	1838	1829	1808	1650	1446	1544
ENSMUSG00000024232	164	176	185	174	181	217
ENSMUSG00000088480	0	0	0	0	0	0
ENSMUSG00000084719	0	0	0	0	0	0
ENSMUSG00000024233	0	0	0	0	0	0
ENSMUSG00000073647	158	144	132	106	66	63
ENSMUSG00000024235	2187	2002	1391	1282	1023	1180
ENSMUSG00000090484	4	5	2	0	3	1
ENSMUSG00000024234	1037	947	965	898	779	903
ENSMUSG00000092883	0	0	0	0	0	0
ENSMUSG00000033960	681	663	941	823	522	658
ENSMUSG00000073646	0	0	1	1	1	4
ENSMUSG00000024236	4323	4153	3535	3485	2113	2169
ENSMUSG00000085461	2	1	2	1	2	5
ENSMUSG00000050945	152	133	158	166	140	146
ENSMUSG00000093709	0	0	0	0	0	0
ENSMUSG00000063087	7	6	8	9	9	8
ENSMUSG00000024238	0	0	0	0	0	0
ENSMUSG00000093585	1	2	4	3	2	2
ENSMUSG00000093717	0	0	0	0	0	0
ENSMUSG00000090078	1	1	1	1	0	0
ENSMUSG00000080543	1	0	0	0	0	0
ENSMUSG00000041225	1792	1640	1518	1397	1184	1329
ENSMUSG00000006740	5850	5814	5249	5166	3156	3488
ENSMUSG00000091165	0	1	0	0	0	0
ENSMUSG00000073640	302	312	241	172	254	314
ENSMUSG00000024240	1896	1971	1885	1657	1381	1540
ENSMUSG00000084514	0	0	0	0	0	0
ENSMUSG00000039540	0	0	0	0	1	2
ENSMUSG00000073639	4076	3749	3428	3368	3069	3379
ENSMUSG00000093506	0	0	0	0	0	0
ENSMUSG00000061013	63	45	26	37	40	51
ENSMUSG00000061802	2	0	0	3	3	2
ENSMUSG00000057440	277	298	322	292	213	222
ENSMUSG00000062196	1	1	0	0	0	0
ENSMUSG00000064822	0	0	0	0	1	0
ENSMUSG00000024283	4457	4524	4308	4009	3028	3330
ENSMUSG00000091019	3	0	0	1	1	1
ENSMUSG00000092097	2	5	2	0	0	2
ENSMUSG00000093342	0	0	0	0	0	0
ENSMUSG00000036904	43	31	11	9	21	33
ENSMUSG00000036855	0	0	0	0	0	0
ENSMUSG00000024286	5139	4820	4601	4422	3731	4180
ENSMUSG00000088996	0	1	0	0	0	0
ENSMUSG00000050996	1	0	0	0	0	0
ENSMUSG00000036103	1401	1391	1104	1057	1002	1107
ENSMUSG00000091285	0	0	0	0	0	0
ENSMUSG00000089054	0	0	0	0	0	0
ENSMUSG00000092816	0	0	0	0	0	0
ENSMUSG00000092039	0	0	0	0	0	1
ENSMUSG00000024287	1745	1749	1792	1621	1477	1607
ENSMUSG00000047879	2575	2357	2702	2465	1984	2215
ENSMUSG00000024290	3682	3608	3627	3453	2054	2281
ENSMUSG00000065941	0	0	2	1	0	0
ENSMUSG00000042942	10	16	22	17	23	14
ENSMUSG00000071868	4	0	0	0	2	2
ENSMUSG00000084693	0	0	0	0	0	0
ENSMUSG00000024293	1825	1734	1865	1792	1376	1624
ENSMUSG00000002477	1240	1268	1007	871	1340	1462
ENSMUSG00000002475	175	181	208	182	145	156
ENSMUSG00000084832	1	0	0	1	0	0
ENSMUSG00000024294	5640	5366	5791	5522	3174	3511
ENSMUSG00000087816	0	0	0	0	0	0
ENSMUSG00000065399	1	1	0	0	0	0
ENSMUSG00000080662	0	1	0	0	0	0
ENSMUSG00000087274	0	1	0	0	0	0
ENSMUSG00000005836	2	7	3	1	6	3
ENSMUSG00000041238	1683	1635	1901	1668	1264	1391
ENSMUSG00000087420	13	26	16	14	28	41
ENSMUSG00000040957	455	457	337	292	526	634
ENSMUSG00000084565	0	0	0	0	0	0
ENSMUSG00000049411	335	292	286	259	210	234
ENSMUSG00000093432	0	0	0	0	0	0
ENSMUSG00000024404	7537	7355	7955	7199	6038	6595
ENSMUSG00000084748	0	0	0	0	0	0
ENSMUSG00000024410	2047	1985	1892	1738	1306	1537
ENSMUSG00000024413	12085	11446	9763	8960	7094	7986
ENSMUSG00000086935	13	13	12	16	8	11
ENSMUSG00000057766	2	5	2	0	5	2
ENSMUSG00000082051	0	0	0	1	2	0
ENSMUSG00000024421	11	9	5	5	15	18
ENSMUSG00000090309	0	0	0	0	0	0
ENSMUSG00000088342	0	0	0	0	0	0
ENSMUSG00000024424	3216	3111	5047	4519	3374	3958
ENSMUSG00000087950	2	1	1	1	0	0
ENSMUSG00000024430	68	61	101	93	43	57
ENSMUSG00000083332	4	7	13	9	9	6
ENSMUSG00000044252	755	823	717	624	527	590
ENSMUSG00000080866	0	0	0	1	1	0
ENSMUSG00000089129	11	12	7	5	2	1
ENSMUSG00000024423	2504	2405	2674	2549	1716	1836
ENSMUSG00000037346	2	7	8	6	5	4
ENSMUSG00000065150	0	0	0	0	0	1
ENSMUSG00000024420	30	24	13	10	15	25
ENSMUSG00000055795	4	0	3	1	2	3
ENSMUSG00000053740	6	5	4	4	8	7
ENSMUSG00000037013	3123	3122	3194	2973	2428	2724
ENSMUSG00000065369	2	1	0	1	1	1
ENSMUSG00000036743	62	57	59	67	86	89
ENSMUSG00000054321	95	113	90	92	74	77
ENSMUSG00000036225	118	138	135	118	129	131
ENSMUSG00000071867	1	3	0	4	3	3
ENSMUSG00000024411	1	0	0	1	0	6
ENSMUSG00000047161	0	0	0	0	0	0
ENSMUSG00000058064	25	23	29	28	42	39
ENSMUSG00000089454	0	0	0	0	0	0
ENSMUSG00000043223	3	2	1	1	5	2
ENSMUSG00000088818	0	0	0	0	0	0
ENSMUSG00000080671	0	0	0	0	0	0
ENSMUSG00000084643	0	2	0	0	0	0
ENSMUSG00000063628	2	2	1	4	1	2
ENSMUSG00000024304	340	338	331	334	358	384
ENSMUSG00000085575	0	0	0	0	0	0
ENSMUSG00000086095	0	2	1	0	4	1
ENSMUSG00000082608	0	0	0	0	0	0
ENSMUSG00000087170	0	0	0	0	2	0
ENSMUSG00000077305	0	0	0	0	0	0
ENSMUSG00000088350	0	0	0	0	0	0
ENSMUSG00000093274	0	0	0	0	0	0
ENSMUSG00000087960	0	0	0	0	0	0
ENSMUSG00000088417	1	0	0	0	0	0
ENSMUSG00000059898	0	1	0	0	1	0
ENSMUSG00000024331	7	4	2	3	4	7
ENSMUSG00000044322	0	0	0	0	2	1
ENSMUSG00000034774	0	1	1	0	1	1
ENSMUSG00000069441	0	0	0	0	0	5
ENSMUSG00000061928	1	0	0	0	1	2
ENSMUSG00000001804	1	0	0	0	1	0
ENSMUSG00000056632	0	1	0	0	0	3
ENSMUSG00000044393	40	30	10	14	21	35
ENSMUSG00000085595	0	0	1	0	0	0
ENSMUSG00000061808	2	0	0	0	0	0
ENSMUSG00000091449	27	39	20	31	22	32
ENSMUSG00000056124	3702	3590	2280	2077	2000	2203
ENSMUSG00000033382	3609	3320	3376	3165	1964	2237
ENSMUSG00000088549	4	3	9	6	9	4
ENSMUSG00000033107	35	33	30	21	18	25
ENSMUSG00000024317	672	601	570	535	588	619
ENSMUSG00000024313	0	0	0	0	0	1
ENSMUSG00000062962	0	0	0	0	1	0
ENSMUSG00000042680	16	19	9	8	13	15
ENSMUSG00000077588	0	0	0	0	0	0
ENSMUSG00000070226	0	0	0	0	0	1
ENSMUSG00000042514	6	2	0	4	2	2
ENSMUSG00000043168	2	2	3	2	5	4
ENSMUSG00000024306	0	3	0	0	0	2
ENSMUSG00000045215	2	0	0	0	3	2
ENSMUSG00000080651	0	0	0	0	0	0
ENSMUSG00000041923	3	2	0	0	2	2
ENSMUSG00000092708	0	0	0	0	1	0
ENSMUSG00000077680	0	0	0	0	0	0
ENSMUSG00000024302	5	5	2	0	20	9
ENSMUSG00000086287	9	13	13	7	14	21
ENSMUSG00000024277	4661	4614	3886	3770	3360	3666
ENSMUSG00000089290	0	0	0	0	0	0
ENSMUSG00000091818	3	5	6	3	13	6
ENSMUSG00000024276	1527	1428	1262	1257	895	975
ENSMUSG00000024274	99	112	94	77	43	65
ENSMUSG00000063281	878	856	855	749	659	783
ENSMUSG00000051469	1451	1393	1311	1269	984	1116
ENSMUSG00000047989	1490	1512	1412	1271	1229	1493
ENSMUSG00000000420	7918	7743	7057	6685	5849	6489
ENSMUSG00000091363	32	31	31	30	21	37
