	1	2
chr1_5013148_5014216	14	29
chr1_36355539_36356823	16	35
chr1_37436330_37437667	10	18
chr1_93240645_93242111	18	40
chr1_137133431_137134537	15	22
chr1_158678162_158679227	8	21
chr1_9638940_9639984	12	19
chr1_13115972_13117184	12	19
chr1_34248655_34249735	12	17
chr1_34617156_34618354	6	15
chr1_34643678_34644806	15	20
chr1_36160001_36161598	26	30
chr1_36582263_36583248	16	24
chr1_36608327_36610326	52	79
chr1_36837355_36839206	14	21
chr1_38778393_38779401	2	9
chr1_43786932_43788274	8	12
chr1_63372098_63373180	28	16
chr1_63660557_63661669	24	28
chr1_69423282_69424471	6	13
chr1_74020197_74021295	32	38
chr1_74047737_74048893	9	13
chr1_74077112_74078303	45	52
chr1_75356304_75357876	47	50
chr1_75384653_75386328	51	73
chr1_75486964_75488273	29	40
chr1_75485564_75486840	29	43
chr1_82283099_82284419	33	37
chr1_87914277_87915632	15	13
chr1_89023325_89024801	24	30
chr1_89564139_89565126	16	16
chr1_92904478_92905713	20	26
chr1_93041113_93042333	10	11
chr1_93217918_93219596	31	46
chr1_93221151_93222410	32	26
chr1_93319706_93321236	11	28
chr1_93696529_93697930	15	11
chr1_94597756_94599227	37	61
chr1_94632461_94633895	27	40
chr1_94749357_94750515	13	10
chr1_94754015_94755991	11	20
chr1_94930759_94932024	15	15
chr1_95089124_95090307	9	25
chr1_95178632_95180377	15	25
chr1_120406528_120407550	6	14
chr1_121085684_121086993	27	34
chr1_134256370_134258352	24	27
chr1_135168411_135169688	14	19
chr1_136883341_136885134	29	38
chr1_137056956_137058622	15	18
chr1_137785773_137787021	11	11
chr1_156051397_156052951	3	15
chr1_158534768_158535825	19	25
chr1_167931121_167932278	15	19
chr1_167973001_167974308	29	34
chr1_168185941_168187018	26	27
chr1_173180525_173181903	48	74
chr1_174247076_174249129	67	82
chr1_174255377_174257042	24	33
chr1_180608725_180609724	9	13
chr1_180844473_180846063	5	15
chr1_183765868_183766897	13	12
chr1_186735584_186736849	8	8
chr1_187278858_187279910	25	27
chr1_188791393_188792510	7	11
chr1_191664111_191665522	16	25
chr10_79002673_79003950	7	11
chr10_79413005_79414244	22	25
chr10_79593053_79595457	65	104
chr10_79773099_79780462	177	312
chr10_79854775_79856600	19	42
chr10_80068399_80070946	52	85
chr10_80296666_80299199	56	89
chr10_80329669_80332129	27	47
chr10_80493082_80494938	29	26
chr10_80543244_80545380	28	52
chr10_80951975_80954140	55	55
chr10_93257439_93258503	8	15
chr10_9619784_9620941	8	11
chr10_12683750_12684937	18	23
chr10_13193136_13194210	21	24
chr10_25999405_26000560	11	21
chr10_42741761_42742872	19	27
chr10_42740419_42741454	11	23
chr10_43229554_43232336	39	63
chr10_43252498_43253537	17	35
chr10_43723120_43724556	33	39
chr10_43867931_43869111	20	20
chr10_44877469_44878803	11	16
chr10_57514016_57515257	28	32
chr10_57686837_57687894	25	28
chr10_59647766_59649914	29	55
chr10_59765025_59766959	16	30
chr10_59776469_59777851	12	10
chr10_59810861_59811999	41	63
chr10_59895084_59896296	15	13
chr10_59901132_59902242	10	5
chr10_60394259_60395491	42	56
chr10_60427834_60428887	18	16
chr10_60733344_60734320	20	17
chr10_60783360_60784623	7	10
chr10_60804650_60806218	61	89
chr10_61161770_61163021	14	25
chr10_61328610_61329658	9	11
chr10_61591579_61592784	32	47
chr10_61653254_61654898	12	22
chr10_66481297_66482301	13	22
