	seqnames	start	end	width	strand	name	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
X0001.ENSMUSG00000051951	chr1	3984201	3985199	999	*	57	0001	ENSMUSG00000051951	3660633	3661579	-	upstream	-323121	322622	NearestLocation
X0002.ENSMUSG00000025900	chr1	4141201	4141999	799	*	27	0002	ENSMUSG00000025900	4350281	4350473	-	downstream	208873	208282	NearestLocation
X0003.ENSMUSG00000067851	chr1	10365201	10366999	1799	*	65	0003	ENSMUSG00000067851	10222452	10222751	-	upstream	-143349	142450	NearestLocation
X0004.ENSMUSG00000057715	chr1	11741201	11741599	399	*	22	0004	ENSMUSG00000057715	11404193	11404718	+	downstream	337207	336483	NearestLocation
X0005.ENSMUSG00000057715	chr1	12049801	12050799	999	*	40	0005	ENSMUSG00000057715	11404193	11404718	+	downstream	646107	645083	NearestLocation
X0006.ENSMUSG00000016918	chr1	12423001	12423399	399	*	24	0006	ENSMUSG00000016918	12708626	12708864	+	upstream	-285426	285227	NearestLocation
X0007.ENSMUSG00000025935	chr1	13531801	13532799	999	*	35	0007	ENSMUSG00000025935	13579681	13579945	-	downstream	47645	46882	NearestLocation
X0008.ENSMUSG00000042686	chr1	17014001	17015399	1399	*	35	0008	ENSMUSG00000042686	17087307	17087879	-	downstream	73179	71908	NearestLocation
X0009.ENSMUSG00000079640	chr1	27352201	27352999	799	*	31	0009	ENSMUSG00000079640	27099346	27099350	+	downstream	253254	252851	NearestLocation
X0010.ENSMUSG00000026131	chr1	34062801	34064999	2199	*	50	0010	ENSMUSG00000026131	33965125	33965268	+	downstream	98775	97533	NearestLocation
X0011.ENSMUSG00000037138	chr1	38670801	38672599	1799	*	65	0011	ENSMUSG00000037138	38683934	38684046	-	downstream	12346	11335	NearestLocation
X0012.ENSMUSG00000048814	chr1	38811801	38813199	1399	*	34	0012	ENSMUSG00000048814	38892616	38892935	-	downstream	80435	79417	NearestLocation
X0013.ENSMUSG00000026077	chr1	39160401	39160799	399	*	27	0013	ENSMUSG00000026077	39250576	39250854	+	upstream	-89976	89777	NearestLocation
X0014.ENSMUSG00000073702	chr1	39425001	39426999	1999	*	51	0014	ENSMUSG00000073702	39424696	39424779	+	downstream	1304	222	NearestLocation
X0015.ENSMUSG00000026072	chr1	40279201	40280199	999	*	36	0015	ENSMUSG00000026072	40281925	40282151	+	upstream	-2225	1726	NearestLocation
X0016.ENSMUSG00000053640	chr1	41905401	41906599	1199	*	32	0016	ENSMUSG00000053640	42286571	42287953	+	upstream	-380571	379972	NearestLocation
X0017.ENSMUSG00000010290	chr1	43186801	43187399	599	*	34	0017	ENSMUSG00000010290	43155555	43155707	+	downstream	31545	31094	NearestLocation
X0018.ENSMUSG00000056870	chr1	44763201	44764199	999	*	30	0018	ENSMUSG00000056870	44608538	44608717	+	downstream	155162	154484	NearestLocation
X0019.ENSMUSG00000025986	chr1	46950801	46951999	1199	*	41	0019	ENSMUSG00000025986	46910316	46910891	-	upstream	-40509	39910	NearestLocation
X0020.ENSMUSG00000026094	chr1	53877601	53879799	2199	*	45	0020	ENSMUSG00000026094	53841918	53842068	-	upstream	-36632	35533	NearestLocation
X0021.ENSMUSG00000038331	chr1	56881401	56881799	399	*	33	0021	ENSMUSG00000038331	57027956	57028702	-	downstream	147102	146157	NearestLocation
X0022.ENSMUSG00000038323	chr1	57411401	57413599	2199	*	43	0022	ENSMUSG00000038323	57434464	57434790	+	upstream	-21964	20865	NearestLocation
X0023.ENSMUSG00000026023	chr1	59332201	59333199	999	*	34	0023	ENSMUSG00000026023	59313750	59313948	+	downstream	18950	18253	NearestLocation
X0024.ENSMUSG00000041040	chr1	59997401	59998399	999	*	42	0024	ENSMUSG00000041040	60027524	60027555	+	upstream	-29624	29125	NearestLocation
X0025.ENSMUSG00000026782	chr1	60465201	60466799	1599	*	36	0025	ENSMUSG00000026782	60466539	60466763	+	includeFeature	-539	36	NearestLocation
X0026.ENSMUSG00000026012	chr1	60870401	60871399	999	*	44	0026	ENSMUSG00000026012	60803202	60803372	+	downstream	67698	67029	NearestLocation
