	seqnames	start	end	width	strand	name	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	chr1	4904201	4905199	999	*	38	0001	ENSMUSG00000062588	4869283	4870750	-	upstream	-33451	33451	NearestLocation
2	chr1	7960801	7961199	399	*	22	0002	ENSMUSG00000051285	7079001	7079297	+	downstream	881800	881504	NearestLocation
3	chr1	9208601	9208799	199	*	14	0003	ENSMUSG00000025909	9288214	9289959	-	downstream	81358	79415	NearestLocation
4	chr1	13982601	13982799	199	*	14	0004	ENSMUSG00000025932	14299727	14300281	-	downstream	317680	316928	NearestLocation
5	chr1	16901401	16901799	399	*	25	0005	ENSMUSG00000042686	17087307	17087879	-	downstream	186478	185508	NearestLocation
6	chr1	18182801	18183199	399	*	17	0006	ENSMUSG00000073735	18227455	18227524	-	downstream	44723	44256	NearestLocation
7	chr1	20127401	20127599	199	*	14	0007	ENSMUSG00000043760	20607992	20608145	-	downstream	480744	480393	NearestLocation
8	chr1	21321201	21322199	999	*	26	0008	ENSMUSG00000067750	21339722	21340200	+	upstream	-18521	17523	NearestLocation
9	chr1	24919801	24920199	399	*	19	0009	ENSMUSG00000073725	24685383	24685655	+	downstream	234418	234146	NearestLocation
10	chr1	25901201	25903199	1999	*	40	0010	ENSMUSG00000052558	25887502	25888723	+	downstream	13699	12478	NearestLocation
11	chr1	26742801	26745599	2799	*	236	0011	ENSMUSG00000073722	26744086	26744305	-	includeFeature	1504	1285	NearestLocation
12	chr1	29957601	29958399	799	*	27	0012	ENSMUSG00000053185	30776292	30776806	-	downstream	819205	817893	NearestLocation
13	chr1	35630801	35631599	799	*	25	0013	ENSMUSG00000045216	36125245	36126029	+	upstream	-494444	493646	NearestLocation
14	chr1	37020801	37021399	599	*	24	0014	ENSMUSG00000080054	37014738	37015362	-	upstream	-5439	5439	NearestLocation
