	seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
X0001.ENSMUSG00000066797	chr1	156051698	156052651	954	*	0001	ENSMUSG00000066797	156051227	156052804	+	inside	947	153	NearestLocation
X0002.ENSMUSG00000026288	chr1	89564440	89564826	387	*	0002	ENSMUSG00000026288	89516973	89517206	+	downstream	47660	47234	NearestLocation
X0003.ENSMUSG00000026207	chr1	75384954	75386028	1075	*	0003	ENSMUSG00000026207	75378713	75378749	+	downstream	6778	6205	NearestLocation
X0004.ENSMUSG00000026614	chr1	187279159	187279610	452	*	0004	ENSMUSG00000026614	187278727	187279558	+	overlapEnd	657	52	NearestLocation
X0005.ENSMUSG00000055322	chr1	74048038	74048593	556	*	0005	ENSMUSG00000055322	74170866	74171021	-	downstream	122705	122273	NearestLocation
X0006.ENSMUSG00000051703	chr1	75487265	75487973	709	*	0006	ENSMUSG00000051703	75476107	75476460	+	downstream	11512	10805	NearestLocation
X0007.ENSMUSG00000026208	chr1	75356605	75357576	972	*	0007	ENSMUSG00000026208	75356904	75357567	+	includeFeature	186	9	NearestLocation
X0008.ENSMUSG00000044055	chr1	94598057	94598927	871	*	0008	ENSMUSG00000044055	94545328	94545418	-	upstream	-53074	52639	NearestLocation
X0009.ENSMUSG00000067653	chr1	36582564	36582948	385	*	0009	ENSMUSG00000067653	36592527	36592574	-	downstream	9818	9579	NearestLocation
X0010.ENSMUSG00000002459	chr1	5013449	5013916	468	*	0010	ENSMUSG00000002459	5009392	5009460	-	upstream	-4222	3989	NearestLocation
X0011.ENSMUSG00000003051	chr1	137133732	137134237	506	*	0011	ENSMUSG00000003051	137154926	137155049	-	downstream	21065	20689	NearestLocation
X0012.ENSMUSG00000045174	chr1	34643979	34644506	528	*	0012	ENSMUSG00000045174	34636538	34636611	+	downstream	7704	7368	NearestLocation
X0013.ENSMUSG00000004880	chr1	183766169	183766597	429	*	0013	ENSMUSG00000004880	183772419	183772532	-	downstream	6149	5822	NearestLocation
X0014.ENSMUSG00000026424	chr1	137057257	137058322	1066	*	0014	ENSMUSG00000026424	137063452	137064258	-	downstream	6468	5130	NearestLocation
X0015.ENSMUSG00000036500	chr1	89023626	89024501	876	*	0015	ENSMUSG00000036500	89021583	89021649	+	downstream	2481	1977	NearestLocation
X0016.ENSMUSG00000037529	chr1	34617457	34618054	598	*	0016	ENSMUSG00000037529	34617575	34617788	-	includeFeature	32	118	NearestLocation
X0017.ENSMUSG00000027520	chr1	63372399	63372880	482	*	0017	ENSMUSG00000027520	63319839	63320046	+	downstream	52801	52353	NearestLocation
X0018.ENSMUSG00000026565	chr1	167931422	167931978	557	*	0018	ENSMUSG00000026565	167932693	167932809	-	downstream	1109	715	NearestLocation
X0019.ENSMUSG00000051703	chr1	75485865	75486540	676	*	0019	ENSMUSG00000051703	75476107	75476460	+	downstream	10095	9405	NearestLocation
X0020.ENSMUSG00000045091	chr1	94931060	94931724	665	*	0020	ENSMUSG00000045091	94902911	94903586	+	downstream	28481	27474	NearestLocation
X0021.ENSMUSG00000026565	chr1	167973302	167974008	707	*	0021	ENSMUSG00000026565	167932693	167932809	-	upstream	-40846	40493	NearestLocation
X0022.ENSMUSG00000026051	chr1	43787233	43787974	742	*	0022	ENSMUSG00000026051	43787447	43787808	+	includeFeature	157	166	NearestLocation
X0023.ENSMUSG00000040612	chr1	168186242	168186718	477	*	0023	ENSMUSG00000040612	168184270	168184597	+	downstream	2210	1645	NearestLocation
X0024.ENSMUSG00000026226	chr1	87914578	87915332	755	*	0024	ENSMUSG00000026226	87918517	87918924	+	upstream	-3562	3185	NearestLocation
X0025.ENSMUSG00000026429	chr1	136883642	136884834	1193	*	0025	ENSMUSG00000026429	136859142	136859363	+	downstream	25096	24279	NearestLocation
X0026.ENSMUSG00000037138	chr1	38778694	38779101	408	*	0026	ENSMUSG00000037138	38683934	38684046	-	upstream	-94852	94648	NearestLocation
X0027.ENSMUSG00000079361	chr1	120406829	120407250	422	*	0027	ENSMUSG00000079361	120373603	120373638	+	downstream	33437	33191	NearestLocation
X0028.ENSMUSG00000034220	chr1	94749658	94750215	558	*	0028	ENSMUSG00000034220	94728222	94728674	+	downstream	21714	20984	NearestLocation
X0029.ENSMUSG00000026308	chr1	93240946	93241811	866	*	0029	ENSMUSG00000026308	93247593	93247712	+	upstream	-6215	5782	NearestLocation
X0030.ENSMUSG00000026305	chr1	92904779	92905413	635	*	0030	ENSMUSG00000026305	92895304	92895470	+	downstream	9792	9309	NearestLocation
X0031.ENSMUSG00000026112	chr1	37436631	37437367	737	*	0031	ENSMUSG00000026112	37486714	37486948	-	downstream	49949	49347	NearestLocation
X0032.ENSMUSG00000041757	chr1	135168712	135169388	677	*	0032	ENSMUSG00000041757	135142674	135142719	+	downstream	26376	25993	NearestLocation
X0033.ENSMUSG00000026117	chr1	36837656	36838906	1251	*	0033	ENSMUSG00000026117	36818695	36818787	+	downstream	19586	18869	NearestLocation
X0034.ENSMUSG00000055322	chr1	74077413	74078003	591	*	0034	ENSMUSG00000055322	74170866	74171021	-	downstream	93313	92863	NearestLocation
X0035.ENSMUSG00000026596	chr1	158535069	158535525	457	*	0035	ENSMUSG00000026596	158488917	158489336	+	downstream	46380	45733	NearestLocation
